Articles	Contributions	Source	Labels
A framework for evaluating multimodal music mood classification	"Following a previous study evaluating a wide range of lyric features and their combinations (Hu & Downie, 2010), this study further explores feature selection and the effect of dimension reduction on feature spaces. Thus, it pushes forward the state‐of‐the‐art on sentiment analysis for music lyrics."	JASIST	Model Optimization
A framework for evaluating multimodal music mood classification	Examines the reduction of training data brought by the multimodal approach. This aspect of improvement has rarely been addressed by previous studies on multimodal music classification. Both the effect on the number of training examples and that on the length of audio clips are evaluated in this study.	JASIST	Model Optimization
A framework for evaluating multimodal music mood classification	"Compares relative advantages of lyrics and audio across different mood categories. To date, there is little evidence as to which information source works better for which mood category(ies). Gaining insight on this question can contribute to deeper understanding of sources and components of music mood."	JASIST	Performance Evaluation
A framework for evaluating multimodal music mood classification	"Builds a large ground truth data set for the task of multimodal music mood classification. The data set contains 5,296 unique songs in 18 mood categories. This is one of the largest experimental data sets in music mood classification with both audio and lyrics available (Barthet et al., 2013; Kim et al., 2010; Yang & Chen, 2012). Results from a large data set with realistic and representative mood categories are more generalizable and of higher practical values."	JASIST	Dataset Creation
A general multiview framework for assessing the quality of collaboratively created content on web 2.0	Our main contributions are: (a) a general ML multiview framework that takes advantage of different views of quality indicators; 	JASIST	Model Construction
A general multiview framework for assessing the quality of collaboratively created content on web 2.0	(b) the improvement (up to 30%) in quality assessment over the best state‐of‐the‐art baseline methods;	JASIST	Algorithm or Method or Technology Optimization
A general multiview framework for assessing the quality of collaboratively created content on web 2.0	" (c) a thorough feature and view analysis regarding impact, informativeness, and correlation, based on two distinct domains."	JASIST	Performance Evaluation
Time‐based tags for fiction movies: comparing experts to novices using a video labeling game	"In this article we investigate the difference in the types of tags provided by experts and novices with three aims: (a) contributing to the understanding of the role of expert tags for content access in the audiovisual heritage domain, in line with the studies on nichesourcing; "	JASIST	Performance Evaluation
Time‐based tags for fiction movies: comparing experts to novices using a video labeling game	"(b) continuing research on time‐based metadata and labeling games initiated by the Waisda? experiments, exploring to what extent a video labeling game can be used to collect tags for films; and "	JASIST	Theory Proposal
Time‐based tags for fiction movies: comparing experts to novices using a video labeling game	"(c) contributing to the overall discussion of how social tagging and crowdsourcing can be applied to the film domain. By film domain, we mean mostly fiction movies, not necessarily celluloid films."	JASIST	Resources
Measuring technological distance for patent mapping	"This paper contributes to the research to develop and analyze patent technology network maps to explore technology diversification and knowledge combination opportunities, and thus support technology forecasting and road mapping practices."	JASIST	Model Construction
Measuring technological distance for patent mapping	The contribution of the present paper lies primarily in promising and demonstrating the strategy to assess alternative distance measures by analyzing the correlations or similarity of the overall network structures resulting from those measures.	JASIST	Performance Evaluation
The role of social capital in selecting interpersonal information sources	 This study contributes to our understanding of interpersonal source use by looking at the impact of social capital dimensions. We find that the social context in which individuals find themselves impacts the assessments of both the quality and accessibility of interpersonal sources. Understanding this allows individuals to better leverage social capital and organizations to make better use of their knowledge resources.	JASIST	Theory Proposal
Gender as an influencer of online health information‐seeking and evaluation behavior	"This article contributes to the growing body of research that demonstrates gender is an influencer of health information behavior, and thereby contributes to understanding of the role of context in shaping information behavior. "	JASIST	Resources
Gender as an influencer of online health information‐seeking and evaluation behavior	"Specifically, the aim of this research is to use the lens of trust judgments, supported by information on other aspects of health information behavior, to demonstrate that gender is a determinant of the information evaluation process."	JASIST	Theory Proposal
Analyzing Web behavior in indoor retail spaces	"The main contribution of this article is a comprehensive report of user indoor behavior. This includes an analysis of the correlation between users' physical visiting patterns and their web behaviors; the establishment of the significant influence of the physical spatial context on the content that indoor users consume on the web; and finally, the analysis of the correspondence between indoor users' social context and their web behaviors"	JASIST	Theory Proposal
The MIREX grand challenge: A framework of holistic user‐experience evaluation in music information retrieval	"The article contributes theoretically to MIR evaluation. The holistic user‐experience evaluation approach advocated and implemented in this study is a radical revolution from existing evaluation frameworks including MIREX, MediaEval, and CLEF (discussed later). These existing frameworks focus on subtasks related to components of MIR systems rather than on complete ones. In addition, they largely follow the Cranfield paradigm (Voorhees, 2002), where retrieval systems are compared against common test collections with topics/queries, materials/collections, and relevance/similarity judgments. Putting users and their interactions with complete MIR systems in the center of consideration changes the entire perspective. The evaluation infrastructure no longer consists of predefined queries or ground truth; the evaluation context is shifted from simplified laboratory settings to real‐world scenarios; and the evaluation criteria focus on users' interactions and perceptions. Hopefully, the proposed evaluation framework will inspire more studies on holistic user‐experience evaluation in MIR."	JASIST	Performance Evaluation
The MIREX grand challenge: A framework of holistic user‐experience evaluation in music information retrieval	"As this is, to our knowledge, the first community‐wide, holistic user‐experience evaluation, there are numerous methodological decisions to make in designing and implementing the evaluation framework (the “testbed”). In particular, the creation of a sharable music data set of a large size shifts the existing “algorithm‐to‐data” paradigm that has long plagued MIR research due to copyright imposed on most music materials. Furthermore, the evaluation methods, results, and reflections on lessons learned are all highly valuable for further studies on user‐centered and holistic evaluation in MIR and related domains such as multimedia IR."	JASIST	Dataset Creation
The MIREX grand challenge: A framework of holistic user‐experience evaluation in music information retrieval	"The findings of this study, particularly the evaluation results, will have important implications for designing MIR systems and applications that cater to the needs of real‐world users. There have been MIR applications, including commercial ones, but they are mostly not evaluated in a scientific and scalable manner. How they support or frustrate users largely remains unanswered questions (Lee & Price, 2015). This study strives to inspire MIR application developers to join the holistic user‐experience evaluation events to be held in the future."	JASIST	Resources
Improving proverb search and retrieval with a generic multidimensional ontology	A practical contribution of this work is an automated web‐based proverb search and retrieval system which incorporates the proposed ontological scheme and an initial corpus of ontology‐based annotated proverbs.	JASIST	New Algorithm or Method or Technology
Using course‐subject Co‐occurrence (CSCO) to reveal the structure of an academic discipline: A framework to evaluate different inputs of a domain map	"Perhaps the most significant contribution of this article is the analytic framework to compare multiple different algorithms, tools, and techniques at each stage of domain map production."	JASIST	Performance Evaluation
Understanding the sustained use of online health communities from a self‐determination perspective	"one contribution of this study is to call attention to the time dimension of the use of information sources, particularly the sustained use of one source."	JASIST	Theory Proposal
Understanding the sustained use of online health communities from a self‐determination perspective	This study represents an attempt to enhance our knowledge of this subject	JASIST	Resources
Understanding the sustained use of online health communities from a self‐determination perspective	"Consistent with the existing literature, our results indicate that emotional factors are important in retaining users. Emotion‐related mechanisms, including feeling respected and supported as a unique individual, and not being pressed by others in decision making, help to cultivate users' autonomy in disease management. "	JASIST	Theory Proposal
Understanding the sustained use of online health communities from a self‐determination perspective	This qualitative study also highlights the importance of information in retaining users in online health communities	JASIST	Theory Proposal
Understanding the sustained use of online health communities from a self‐determination perspective	"This study also found that small group interactions may help to retain users, as such interactions can cultivate competence by supporting brainstorming and collective problem solving, and can cultivate relatedness by supporting the formation of stronger ties, closer relationships, and more prolonged communications. "	JASIST	Theory Proposal
Teen online information disclosure: Empirical testing of a protection motivation and social capital model	The current study contributes to the literature by building a conceptual model on teen online information disclosure that includes both teen and parental factors. The conceptual model proposed a general progression from teen and parental antecedents to teen online privacy concerns to teen protection behaviors to teen online information disclosure.	JASIST	Model Construction
Teen online information disclosure: Empirical testing of a protection motivation and social capital model	"Along with our documentation of how online processes vary by different types of privacy protection behaviors, a novel contribution of the current study is the implementation of the outcome of teen online information disclosure."	JASIST	Theory Proposal
Interfaces for accessing location‐based information on mobile devices: An empirical evaluation	the present study contributes to this stream of research by investigating performance and usability perceptions of three interfaces that have been commonly used for information‐seeking tasks.	JASIST	Performance Evaluation
Scientific research measures	The first contribution is to introduce a novel class of scientific performance measures designated Scientific Research Measures (SRMs).	JASIST	New Algorithm or Method or Technology
Scientific research measures	The second contribution of this article is to introduce a further general class of research measures designated Dual SRMs.	JASIST	New Algorithm or Method or Technology
Scientific research measures	The third contribution of this article is to present an extensive empirical application of SRMs.	JASIST	Applications
Leveraging metadata to recommend keywords for academic papers	"A large database of research paper metadata, including the citation network, title, abstract, keywords, authors, venues, and so forth."	JASIST	Dataset Creation
Leveraging metadata to recommend keywords for academic papers	An analysis of a number of keyword recommendation methods based on the citation network.	JASIST	Performance Evaluation
Leveraging metadata to recommend keywords for academic papers	A novel text‐based method which is focused on the text in the abstract and title only.	JASIST	New Algorithm or Method or Technology
Leveraging metadata to recommend keywords for academic papers	Thorough offline experiments for the evaluation of the various methods.	JASIST	Performance Evaluation
Leveraging metadata to recommend keywords for academic papers	A user study evaluating the opinion of researchers on the keyword recommendation engine.	JASIST	Performance Evaluation
The effect of personalization provider characteristics on privacy attitudes and behaviors: An Elaboration Likelihood Model approach	"It investigates three techniques for the provider to present itself to the user (reputation management, client‐side personalization, cloud‐based personalization) to obtain favorable privacy‐related attitudes."	JASIST	Performance Evaluation
The effect of personalization provider characteristics on privacy attitudes and behaviors: An Elaboration Likelihood Model approach	It develops an integrated causal model that explains how these privacy‐related attitudes influence information disclosure in the context of personalization.	JASIST	Model Construction
The effect of personalization provider characteristics on privacy attitudes and behaviors: An Elaboration Likelihood Model approach	"Using the Elaboration Likelihood Model (ELM), it identifies how the relative success of the presentation techniques depends on two personal variables (namely privacy self‐efficacy beliefs and general online privacy concerns)."	JASIST	Model Optimization
The effect of personalization provider characteristics on privacy attitudes and behaviors: An Elaboration Likelihood Model approach	"It validates the research model in an experiment (n = 390), focusing on actual information disclosure behavior as its outcome."	JASIST	Performance Evaluation
Is exploratory search different? A comparison of information search behavior for exploratory and lookup tasks	Our main contribution is a systematic enumeration and quantification of behavioral variables that can be used to separate lookup versus exploratory tasks. 	JASIST	New Algorithm or Method or Technology
Towards an understanding of the relationship between disciplinary research cultures and open access repository behaviors	The findings presented in this paper are important in that they contribute to the development of a greater understanding of disciplinary research cultures in relation to OAR and OA policy initiatives. 	JASIST	Theory Proposal
Towards an understanding of the relationship between disciplinary research cultures and open access repository behaviors	"The findings also inform methodological approaches for studying the information, dissemination, and publication behaviors of researchers."	JASIST	Theory Proposal
Identification of nonliteral language in social media: A case study on sarcasm	"(a) the creation of a corpus that includes sarcastic utterances that have been explicitly identified as such by the writer of the message, and nonsarcastic utterances that express positive or negative attitudes without sarcasm; "	JASIST	Dataset Creation
Identification of nonliteral language in social media: A case study on sarcasm	(b) a report on the performance of distinguishing sarcastic tweets from tweets that are straightforwardly positive or negative both by automatic methods (supervised machine‐learning methods) and by human judges.	JASIST	Performance Evaluation
Form‐ing institutional order: The scaffolding of lists and identifiers	"The main body of the paper is taken up with considering what Searle's social ontology offers to the framing of both data structures and the relationship of such artifacts to institutional order. The work of Searle never directly engages the notion of a data structure itself. Hence, the second main contribution of the current paper is to develop a perspective on the data structure that is consistent with Searle's theorization.

"	JASIST	Model Optimization
Form‐ing institutional order: The scaffolding of lists and identifiers	"This leads to another contribution, which is to demonstrate how data structures scaffold the constitution of institutional order."	JASIST	Theory Proposal
Herd behavior in consumers’ adoption of online reviews	"According to our findings, herd factors are important determinants of online review adoption, and homophily factors have positive effects on herd factors. These findings contribute to the literature by showing that informational factors alone may be insufficient to provoke consumers’ adoption of online reviews."	JASIST	Theory Proposal
University citation distributions	"First, using a large WoS data set consisting of 4.4 million articles published in 1998 to 2003 with a 5‐year citation window for each year, Albarrán et al. (2015) found that at least in some broad fields and in the all‐sciences case, the citation distributions of 36 countries and two residual geographical areas are not only highly skewed but also very similar across countries—a result parallel to our own for the 500 LR universities. "	JASIST	Theory Proposal
University citation distributions	"Second, Perianes‐Rodriguez and Ruiz‐Castillo (2015) studied a set of 2,530 highly productive economists who in 2007 worked in a selection of the top‐81 economics departments in the world. Contrary to previous results for field or country citation distributions, we found that productivity distributions were very different across the 81 economics departments. "	JASIST	Performance Evaluation
University citation distributions	"Finally, Chatterjee et al. (2014) studied 42 academic institutions across the world, their publications in 4 years (1980, 1990, 2000, 2010), and the citations they have received up to July 2014 according to the WoS.5 Contrary to our first result, these authors claimed that their 42 citation distributions satisfy the universality condition."	JASIST	Performance Evaluation
Do autocomplete functions reduce the impact of dyslexia on information‐searching behavior? The case of Google	The novel contribution of this study is thus empirical evidence about what mechanisms reduce the effect of dyslexia in information search. Such knowledge is needed to develop design guidelines that better address search experiences for dyslexic users	JASIST	Theory Proposal
Sharing “happy” information	The primary contribution of these findings to LIS research on information behavior is the establishment of the list of factors motivating individuals' information‐sharing behavior of nontask‐orientated happy information within a casual leisure environment.	JASIST	Theory Proposal
Comparing and combining Content‐ and Citation‐based approaches for plagiarism detection	"(a) we survey the existing approaches for plagiarism detection based on content, based on content and structure, and based on citations and references; and"	JASIST	Theory Proposal
Comparing and combining Content‐ and Citation‐based approaches for plagiarism detection	 (b) we compare content and citation‐based approaches with the goal of evaluating whether they are complementary and if their combination can improve the quality of the detection. 	JASIST	Performance Evaluation
The quality versus accessibility debate revisited: A contingency perspective on human information source selection	"Our study aims to contribute to this growing line of research in three ways. First, we argue that the trade‐off between accessibility and quality might be less straightforward than is implied in these studies."	JASIST	Theory Proposal
The quality versus accessibility debate revisited: A contingency perspective on human information source selection	"Second, we argue that, to advance the quality versus accessibility debate and come to a better understanding of the validity of the three models of source selection found thus far, a more thorough description of moderating effects on accessibility and quality is necessary."	JASIST	Theory Proposal
The quality versus accessibility debate revisited: A contingency perspective on human information source selection	"Finally, in this line of research, there is an inclination to focus on contingencies that are likely to lead to more weight given to source quality when selecting information sources. We break this tendency by using time pressure as a potential contingency factor. "	JASIST	New Algorithm or Method or Technology
Uncovering social semantics from textual traces: A theory‐driven approach and evidence from public statements of U.S. Members of Congress	We provide theoretical justification for distinguishing three processes by which similar texts are authored.	JASIST	New Algorithm or Method or Technology
Uncovering social semantics from textual traces: A theory‐driven approach and evidence from public statements of U.S. Members of Congress	We develop a randomized n‐gram extraction algorithm to capture text similarity based on n‐grams of different lengths that effectively tackles the computational challenge of counting vast numbers of arbitrarily long n‐grams based on a document‐pair sampling strategy.	JASIST	New Algorithm or Method or Technology
Uncovering social semantics from textual traces: A theory‐driven approach and evidence from public statements of U.S. Members of Congress	"We conduct a study on a text corpus produced by members of the U.S. Congress, demonstrating that the distribution of n‐gram similarity between the members' statements is tri‐modal. We then show that each mode is most closely associated with different relationships known to exist between members of Congress: sharing topics, sharing rhetorical goals, and sharing sources."	JASIST	Theory Proposal
Seeing is believing (or at least changing your mind): The influence of visibility and task complexity on preference changes in computer‐supported team decision making	"this study contributes to the literature by providing insight into how task characteristics can interact with GDSS tools to influence information exchange in team information processing, and it shows that such exchange can impact individual preferences."	JASIST	Theory Proposal
Modeling journal bibliometrics to predict downloads and inform purchase decisions at university research libraries	One of the contributions from this research is the correlation of many advanced global metrics with local metrics to predict downloads of journal articles at a local institution.	JASIST	Theory Proposal
Business process costs of implementing “gold” and “green” open access in institutional and national contexts	"this study contributes to the ongoing debate about OA implementation, helping to inform policy decisions at institutional and national levels."	JASIST	Resources
"Social media and problematic everyday life information‐seeking outcomes: Differences across use frequency, gender, and problem‐solving styles"	"This study will contribute to understanding the outcomes of social media ELIS, a topic that is rarely analyzed. Specifically, by testing several social media platforms (RQ1) and individual differences (RQ2), this study shows which user segments require more assistance with overcoming which type of informational problem."	JASIST	Theory Proposal
"Social media and problematic everyday life information‐seeking outcomes: Differences across use frequency, gender, and problem‐solving styles"	" Moreover, the study tested affective factors such as personal emotional control. The findings add insights to research on the affective dimensions of information behavior (Nahl & Bilal, 2007; Savolainen, 2014). "	JASIST	Theory Proposal
"Social media and problematic everyday life information‐seeking outcomes: Differences across use frequency, gender, and problem‐solving styles"	"By testing various interaction effects (RQ3), this research also provides a more nuanced understanding of the salient factors and relationships affecting SMIS. "	JASIST	Theory Proposal
"Social media and problematic everyday life information‐seeking outcomes: Differences across use frequency, gender, and problem‐solving styles"	"Finally, this study suggests propositions for further hypothesis testing and theory development. As social media become pervasive, research on the informational outcomes of SMIS is both timely and necessary."	JASIST	Resources
A content analysis of Twitter hyperlinks and their application in web resource indexing	"The major contributions of this study are the content analysis of hyperlinked resources, as well as the discovery of topical associations between some hashtags and hyperlinked resources."	JASIST	Theory Proposal
A content analysis of Twitter hyperlinks and their application in web resource indexing	" this empirical study can contribute not only to web resource indexing, but also to tweet organization and access."	JASIST	Resources
"Reducing digital divide effects through student engagement in coordinated game design, online resource use, and social computing activities in school"	"This research contributes to sociological and information sciences scholarship on digital inequality, and its results can inform the ongoing design and deployment of inquiry‐based instruction and learning innovations such as this one involving game design, informational resource use, and social media activities."	JASIST	Resources
"Reducing digital divide effects through student engagement in coordinated game design, online resource use, and social computing activities in school"	"This study contributes to the literature by establishing an evidence base that gender, socioeconomic, achievement, and perhaps race and ethnicity gaps can be reduced through direct interventions such as these."	JASIST	Theory Proposal
"Understanding scientific collaboration in the research life cycle: Bio‐ and nanoscientists' motivations, information‐sharing and communication practices, and barriers to collaboration"	"By informing the motivations for, communication and information‐sharing practices of, and barriers to collaboration of scientists in their research life cycle, the findings of this study should contribute to the design of research support for scientists working together."	JASIST	Resources
Using the wayback machine to mine websites in the social sciences: A methodological resource	This paper's contribution to the early but growing literature on the Wayback Machine concerns the approaches we used to identify and overcome these methodological issues. 	JASIST	Resources
Using the wayback machine to mine websites in the social sciences: A methodological resource	"In particular, we put forth a six‐step process for accessing archived website information about SMEs, consisting of: (a) sampling, (b) organizing and defining the boundaries of the web crawl, (c) crawling, (d) website variable operationalization, (e) integration with other data sources, and (f) analysis. "	JASIST	Model Construction
Using the wayback machine to mine websites in the social sciences: A methodological resource	We conclude by pointing out the importance of automation and manual verification to maximize the value of the Wayback Machine for social science analysis.	JASIST	Theory Proposal
Constructing conceptual trajectory maps to trace the development of research fields	"This study used “publication year” and “article similarity” as new factors in constructing the conceptual development trajectory model. This method can classify other concepts into suitable nodes, performing as the proposed model. Because the original main path analysis method identifies only the most core paths, this model was developed to prevent nodes from losing important information, which, in turn, can help in tracing the developmental trajectories of concepts."	JASIST	Model Optimization
Constructing conceptual trajectory maps to trace the development of research fields	"Using the map constructed by the proposed model, researchers can view main concepts as research highlights for a 3‐year period in a node. Furthermore, using these nodes, researchers can determine which topics are enduring and valuable, which ones are active and survive over time, and which ones are of transient interest only (i.e., flashes in the pan). But, the proposed method may still lose some quite relevant and important documents that without related articles continued publishing in the trajectory map during in 3 years, even if the probability is very low."	JASIST	Applications
Constructing conceptual trajectory maps to trace the development of research fields	"The extraction concepts used here not only represent the developmental trajectory of research concepts in a field, but also suggest keywords that new entrants can use to search precisely for those articles that interest them. This study's results confirmed that the proposed method can provide precise keywords that can be used by researchers to search for articles from large databases even when they lack the research front of a field."	JASIST	New Algorithm or Method or Technology
A mixture model of global internet capacity distributions	"This study makes theoretical and methodological contributions relevant to scholars and policy makers working in the area of international communication networks and the digital divide. In particular, our development of a preferential attachment‐based mixture model of bandwidth allocation provides a more nuanced picture of the digital gaps across the globe and their implications for other aspects of society. The approaches used in this study may be applied to studying the digital divide within a country or society."	JASIST	Model Construction
Media studies research in the data‐driven age: How research questions evolve	"Our first contribution is the development of a model of the media studies research cycle, which confirms earlier studies into the research cycle of humanities disciplines. Specifically, we found that the research cycle of media studies researchers shares similar activities as models developed to characterize the research cycle of literary critics and music scholars. We add to existing work by providing a detailed quantitative and qualitative analysis of the activities within the research cycle and how they interact. In particular, we found that information gathering and analysis activities are especially influential on research outcomes, which may be observed through changes in the research questions of media studies researchers."	JASIST	Model Construction
Media studies research in the data‐driven age: How research questions evolve	"Our second contribution is an identification of three types of changes that research questions may undergo during a research project: (a) questions become more specific, (b) additional questions are added, (c) or a changed perspective in the research question. Reasons for the changes in research questions can be found in the observation that media studies researchers learn about the availability of material, discover trends in the material, or gain alternative views on a topic. The main activities during which these changes occur are information gathering and data analysis. This finding implies the growing importance of data and tools and their role in the development of the questions researchers ask."	JASIST	Theory Proposal
Media studies research in the data‐driven age: How research questions evolve	"Our third contribution is the identification of the role of information sources and tools during information gathering and analysis activities and how these factors affect researchers' questions. We found that media studies researchers turn to new information sources for contextualization on the web, for example, blogs, online fora, as well as a diverse set of sources accessible though individual search services, for example, newspapers and archives."	JASIST	Theory Proposal
Media studies research in the data‐driven age: How research questions evolve	" Finally, we found that challenges of accessibility and discoverability of primary source materials remain a concern and require continued attention."	JASIST	Theory Proposal
Social‐media‐based public policy informatics: Sentiment and network analyses of U.S. Immigration and border security	"The contributions of this research include a new framework for social‐media‐based public policy informatics, a proof‐of‐concept system called iMood that demonstrates the feasibility and functionality of sentiment discovery and network analysis in the U.S. immigration and border security discussion on Twitter, new reusable data sets on social‐media‐based public policy discussion that contains network and sentiment analyses findings, and new empirical findings of the discussion based on iMood's results."	JASIST	Model Construction
Rain or shine? Forecasting search process performance in exploratory search tasks	Our experiments with single users as well as pairs of users demonstrated that we could make reasonably accurate predictions in the early stage of their search process regarding their future performance (addressing RQ1).	JASIST	Theory Proposal
Rain or shine? Forecasting search process performance in exploratory search tasks	"It was observed that features such as number of snippets, query specific features like length of query, number of tokens in query, and query entropy, were not significantly contributing to discriminating between the classes in the classification models at the early stages (t = 1,2,3) of the search process. This is because there were very few snippets/queries, which were used early during the process when a user is uncertain about the task at hand. In other words, query‐related features were found to be inadequate indicators of search performance in the beginning of an information‐seeking process."	JASIST	Theory Proposal
Rain or shine? Forecasting search process performance in exploratory search tasks	"We also found that later during the process most of the features were found to be contributing significantly to the classification model (addressing RQ2). This finding helps to provide a better structure for process‐focused IR evaluations. Such evaluations could include those utilizing time‐series attributes of a search process in order to assess the effectiveness of a search system or a user, as well as predicting how the search process might look in the future. For instance, one could devise an evaluation metric that is time‐dependent in that it would measure and account for different forms of information objects and user actions for evaluating the goodness of the search process depending on the time (absolute and relative with the overall task)."	JASIST	Performance Evaluation
A quantitative analysis of the temporal effects on automatic text classification	"(a) a revisitation of the characterization reported in (Mourão et al., 2008), with the inclusion of a third data set belonging to a distinct and more dynamic domain, in order to strengthen the argument for the existence of such temporal effects;"	JASIST	Resources
A quantitative analysis of the temporal effects on automatic text classification	" (b) the proposal of a method to enable a deeper and quantitative study of the aforementioned temporal effects, by means of a factorial experimental design aimed at uncovering how each temporal effect affects each TC algorithm and textual data set; and "	JASIST	New Algorithm or Method or Technology
A quantitative analysis of the temporal effects on automatic text classification	"(c) an instantiation of that method using several data sets and TC algorithms, along with a detailed study regarding the impact of the temporal effects on them. Specifically, we focus on four traditional TC algorithms, namely, Rocchio, K Nearest Neighbors (KNN), Naïve Bayes and Support Vector Machine (SVM), and on three different and widely used textual collections covering long time periods, namely, ACM‐DL (22 consecutive years), MEDLINE (15 consecutive years), and finally, AG‐NEWS (573 consecutive days)."	JASIST	New Algorithm or Method or Technology
Recovering uncaptured citations in a scholarly network: A two‐step citation analysis to estimate publication importance	(a) We studied and characterized the citation‐based ranking performance given imperfect citation metadata.	JASIST	Resources
Recovering uncaptured citations in a scholarly network: A two‐step citation analysis to estimate publication importance	" (b) By using a real‐world scientific data set (ACM DL), we designed an innovative experiment to simulate different citation‐missing environments to verify the ranking performance. "	JASIST	Resources
Recovering uncaptured citations in a scholarly network: A two‐step citation analysis to estimate publication importance	(c) We employed a two‐step method to remedy the citation‐based ranking performance. The results of this study are important for real‐world scientific information retrieval or recommendation systems on both a theoretical and a practical level.	JASIST	Algorithm or Method or Technology Optimization
Indexing by Latent Dirichlet Allocation and an Ensemble Model†	"First, we present Indexing by latent Dirichlet allocation (LDI), an automatic document indexing method. Many ad hoc applications, or their variants with smoothing techniques suggested in LDA‐based language modeling, can result in unsatisfactory performance as the document representations do not accurately reflect concept space. To improve document retrieval performance, we introduce a new definition of document probability vectors in the context of LDA and present a novel scheme for automatic document indexing based on LDA. "	JASIST	New Algorithm or Method or Technology
Indexing by Latent Dirichlet Allocation and an Ensemble Model†	"Second, we propose an Ensemble Model (EnM) for document retrieval. EnM combines basic indexing models by assigning different weights and attempts to uncover the optimal weights to maximize the mean average precision. To solve the optimization problem, we propose an algorithm, which is derived based on the boosting method. The results of our computational experiments on benchmark data sets indicate that both the proposed approaches are viable options for document retrieval."	JASIST	Model Construction
The “total cost of publication” in a hybrid open‐access environment: Institutional approaches to funding journal article‐processing charges in combination with subscriptions	This article makes an early contribution to the process of capturing and analyzing those experiences. There is clearly a need to continue to monitor developments and subject them to rigorous scrutiny in order to inform future developments both in the United Kingdom and beyond.	JASIST	Performance Evaluation
Understanding collaborative search for places of interest	"the primary contribution of this paper is an investigation of collaborative behavior associated with local search for places of interest on mobile or nonmobile devices, including the prevalence of multiparty participation, collaboration settings, how it occurs, the difficulties that might be associated with it, and the group‐based, decision‐making process."	JASIST	Resources
Assessment of learning to rank methods for query expansion	"(a) to present the usefulness of expansion terms, we propose two term truth labeling strategies; "	JASIST	New Algorithm or Method or Technology
Assessment of learning to rank methods for query expansion	(b) we define a large set of term features and examine their effectiveness based on their different combinations; and 	JASIST	Dataset Creation
Assessment of learning to rank methods for query expansion	(c) we examine and compare several state‐of‐the‐art learning to rank methods for term refinement.	JASIST	Performance Evaluation
The decision to submit to a journal: Another example of a valence‐consistent Shift?	"In this article we contribute to this literature by investigating the relative weight attached to factors in a researcher's decision process, for authors active in the information sciences. "	JASIST	Resources
Social scientists' satisfaction with data reuse	"Drawing on the information systems and information science literature, we contribute to research in the area by developing a model to examine the relationship between data quality and data reusers' satisfaction. Specifically, in this paper we report on a survey conducted among social scientists that reused data housed at the Inter‐University Consortium for Political and Social Research (ICPSR)."	JASIST	Model Construction
Social scientists' satisfaction with data reuse	" Our study contributes to the data reuse literature by extending beyond merely highlighting what data quality attributes are important in the early stages of data reuse. By surveying social scientists retrospectively, our study contributes knowledge about what attributes influence satisfaction with the entire data reuse process. "	JASIST	Resources
Social scientists' satisfaction with data reuse	"Moreover, we contribute a complementary perspective on repository success that is rooted in data reusers' perceptions of their whole data reuse experience and offer suggestions about how repository staff might influence perceptions of data quality and thereby increase repository success. In the following sections of the paper, we contextualize our study through a literature review, introduce our research model, and discuss our research method. "	JASIST	Model Construction
Distortive effects of initial‐based name disambiguation on measurements of large‐scale coauthorship networks	"The contribution of this study is that it looks simultaneously into five different academic fields and an interdisciplinary journal, where IBD has been used for large‐scale coauthorship network analysis. "	JASIST	Resources
Distortive effects of initial‐based name disambiguation on measurements of large‐scale coauthorship networks	"In addition, with author numbers ranging from 12,000 to 24,000, which are almost the same or lower numbers than those used in previous large‐scale coauthorship network research, this study will provide an insight on the magnitude of the impact of IBD. "	JASIST	Resources
Distortive effects of initial‐based name disambiguation on measurements of large‐scale coauthorship networks	"Furthermore, this study investigates how much merging and splitting each affect the identification of (a) actual individuals (b) top authors in terms of productivity and popularity, with the latter being measured as number of coauthors. "	JASIST	Theory Proposal
Personalized generation of word clouds from tweets	"We propose a new strategy for improving word cloud generation for Twitter users by exploiting all the past user information to generate more personalized word clouds, which outperforms the state‐of‐the‐art method (which is nonpersonalized)."	JASIST	New Algorithm or Method or Technology
Personalized generation of word clouds from tweets	"We propose a general framework to effectively combine three types of user information, that is, tweets written by a user, tweets retweeted, and tweets ignored by the user, for generation of personalized word cloud, and systematically examine the effectiveness of each type of user information."	JASIST	Model Construction
Personalized generation of word clouds from tweets	"We propose a new way of evaluating word clouds quantitatively based on tweet ranking, which can reveal subtle differences of different word clouds."	JASIST	New Algorithm or Method or Technology
Personalized generation of word clouds from tweets	We evaluate the proposed methods and come up with the following findings: (a) The retweeted tweets by users are generally more useful than the tweets written by the user for word cloud generation. (b) The ignored tweets can also be exploited to further improve the quality of word clouds. (c) A combination of all the user information yields the best results.	JASIST	Performance Evaluation
